TransactionDate,Payment Date,Narrative,Transaction Reference,Debit,Credit
24-04-2023,24-04-2023,Clothing Purchase,4843340935572396,109.08,0.00
26-04-2023,26-04-2023,Dining,2449207297662910,401.35,0.00
28-04-2023,28-04-2023,Monthly Salary,8354867655695869,0.00,4430.05
01-05-2023,01-05-2023,Movie,5979525951410483,262.65,0.00
11-05-2023,11-05-2023,Clothing Purchase,5781296280210130,241.76,0.00
14-10-2023,14-10-2023,Movie,6544686663182579,364.74,0.00
26-10-2023,26-10-2023,Medical Expenses,8389783961071306,197.38,0.00
29-10-2023,29-10-2023,Clothing Purchase,6960970440915055,231.92,0.00
03-11-2023,03-11-2023,Travel Booking,7187045167670525,102.29,0.00
10-11-2023,10-11-2023,School Fees,7823856745011777,252.42,0.00
11-11-2023,11-11-2023,Electricity Bill,4430000734980004,209.54,0.00
18-11-2023,18-11-2023,Electricity Bill,9743083364387318,70.18,0.00
18-11-2023,18-11-2023,School Fees,5392407797325898,420.67,0.00
22-11-2023,22-11-2023,Fuel,7275015929657356,412.35,0.00
23-11-2023,23-11-2023,Online Purchase,2278243635300710,214.39,0.00
23-11-2023,23-11-2023,Fuel,6662831092897570,95.28,0.00
28-11-2023,28-11-2023,Electricity Bill,9765241162181757,461.17,0.00
02-12-2023,02-12-2023,Loan EMI,7676268238535267,294.39,0.00
03-12-2023,03-12-2023,Electricity Bill,8091592445975198,404.09,0.00
07-12-2023,07-12-2023,Monthly Salary,7459731937772194,0.00,4595.55
13-12-2023,13-12-2023,Gym Membership,9187119209959353,205.35,0.00
14-12-2023,14-12-2023,Medical Expenses,6187147076344140,21.30,0.00
18-12-2023,18-12-2023,Gym Membership,9796382373614159,338.48,0.00
20-12-2023,20-12-2023,Monthly Salary,6806623210235125,0.00,2189.93
22-12-2023,22-12-2023,Electricity Bill,8869411403071091,210.67,0.00
28-12-2023,28-12-2023,Movie,5391868418995331,137.41,0.00
12-05-2023,12-05-2023,Water Bill,5524856524938771,278.65,0.00
15-05-2023,15-05-2023,Monthly Salary,6519524825287686,0.00,4850.28
15-05-2023,15-05-2023,Insurance Premium,3132993763510450,234.32,0.00
24-05-2023,24-05-2023,Electronics Purchase,6055366919797072,393.46,0.00
25-05-2023,25-05-2023,Monthly Salary,5441235861610032,0.00,3326.09
26-05-2023,26-05-2023,Movie,2602573957727020,99.38,0.00
23-06-2023,23-06-2023,Mobile Recharge,4105741927723623,85.97,0.00
30-06-2023,30-06-2023,Mobile Recharge,2095058996811526,45.69,0.00
06-07-2023,06-07-2023,Clothing Purchase,8233313557002518,119.15,0.00
11-07-2023,11-07-2023,Loan EMI,6674730014580061,17.61,0.00
15-07-2023,15-07-2023,Water Bill,3659896381675968,217.10,0.00
16-07-2023,16-07-2023,Clothing Purchase,8732803978334833,402.75,0.00
20-07-2023,20-07-2023,Loan EMI,6259886855536481,420.49,0.00
26-07-2023,26-07-2023,Gym Membership,9311133824199905,229.76,0.00
27-07-2023,27-07-2023,Medical Expenses,3332346365005651,20.98,0.00
04-08-2023,04-08-2023,Fuel,2379522459538887,342.26,0.00
05-08-2023,05-08-2023,Movie,6202568741764512,218.62,0.00
11-08-2023,11-08-2023,Medical Expenses,8542874149485155,368.09,0.00
11-08-2023,11-08-2023,Water Bill,4161784425285363,305.39,0.00
19-08-2023,19-08-2023,Insurance Premium,2180587494544295,353.21,0.00
26-08-2023,26-08-2023,Grocery Shopping,6107608130355635,40.19,0.00
29-08-2023,29-08-2023,Electronics Purchase,6978865364252690,260.92,0.00
31-08-2023,31-08-2023,Clothing Purchase,4033536061558062,333.19,0.00
06-09-2023,06-09-2023,Electricity Bill,8902140635045647,337.85,0.00
07-09-2023,07-09-2023,Water Bill,3773238388159236,345.66,0.00
25-09-2023,25-09-2023,Loan EMI,4666107572540081,262.66,0.00
01-10-2023,01-10-2023,Dining,6139887122781078,344.68,0.00
04-10-2023,04-10-2023,Travel Booking,3250954154596103,488.62,0.00
05-10-2023,05-10-2023,Electronics Purchase,9712983547665754,25.56,0.00
06-10-2023,06-10-2023,Clothing Purchase,9559795379784058,435.08,0.00
13-10-2023,13-10-2023,Monthly Salary,2771511537660634,0.00,3554.25
14-10-2023,14-10-2023,Movie,6544686663182579,364.74,0.00
26-10-2023,26-10-2023,Medical Expenses,8389783961071306,197.38,0.00
29-10-2023,29-10-2023,Clothing Purchase,6960970440915055,231.92,0.00
03-11-2023,03-11-2023,Travel Booking,7187045167670525,102.29,0.00
10-11-2023,10-11-2023,School Fees,7823856745011777,252.42,0.00
11-11-2023,11-11-2023,Electricity Bill,4430000734980004,209.54,0.00
18-11-2023,18-11-2023,Electricity Bill,9743083364387318,70.18,0.00
18-11-2023,18-11-2023,School Fees,5392407797325898,420.67,0.00
22-11-2023,22-11-2023,Fuel,7275015929657356,412.35,0.00
23-11-2023,23-11-2023,Online Purchase,2278243635300710,214.39,0.00
23-11-2023,23-11-2023,Fuel,6662831092897570,95.28,0.00
28-11-2023,28-11-2023,Electricity Bill,9765241162181757,461.17,0.00
02-12-2023,02-12-2023,Loan EMI,7676268238535267,294.39,0.00
03-12-2023,03-12-2023,Electricity Bill,8091592445975198,404.09,0.00
07-12-2023,07-12-2023,Monthly Salary,7459731937772194,0.00,4595.55
13-12-2023,13-12-2023,Gym Membership,9187119209959353,205.35,0.00
14-12-2023,14-12-2023,Medical Expenses,6187147076344140,21.30,0.00
18-12-2023,18-12-2023,Gym Membership,9796382373614159,338.48,0.00
20-12-2023,20-12-2023,Monthly Salary,6806623210235125,0.00,2189.93
22-12-2023,22-12-2023,Electricity Bill,8869411403071091,210.67,0.00
28-12-2023,28-12-2023,Movie,5391868418995331,137.41,0.00
05-01-2023,05-01-2023,Medical Expenses,4161352352655054,78.87,0.00
06-01-2023,06-01-2023,Loan EMI,8496804171798802,307.44,0.00
18-01-2023,18-01-2023,Monthly Salary,8573503786477559,0.00,2512.00
22-01-2023,22-01-2023,Mobile Recharge,1054954198503016,278.49,0.00
25-01-2023,25-01-2023,Electricity Bill,9763474835927146,27.97,0.00
29-01-2023,29-01-2023,Transport,6983190424005195,159.56,0.00
31-01-2023,31-01-2023,Transport,2200980449957918,154.45,0.00
02-02-2023,02-02-2023,Dining,3410793442486691,115.02,0.00
04-02-2023,04-02-2023,Movie,1447889870337339,151.85,0.00
05-02-2023,05-02-2023,Grocery Shopping,7335326708332379,278.10,0.00
11-02-2023,11-02-2023,Movie,9338903403375205,238.95,0.00
13-02-2023,13-02-2023,Transport,4528200664548503,488.46,0.00
14-02-2023,14-02-2023,Monthly Salary,6111563626015108,0.00,4867.31
14-02-2023,14-02-2023,Online Purchase,3563331738706976,369.85,0.00
21-02-2023,21-02-2023,Clothing Purchase,8975393364133687,365.84,0.00
22-02-2023,22-02-2023,Electronics Purchase,9193559814250283,195.95,0.00
26-02-2023,26-02-2023,Water Bill,5891229429012910,30.32,0.00
02-03-2023,02-03-2023,School Fees,3147664934420556,250.58,0.00
04-03-2023,04-03-2023,Gym Membership,6987481537250857,309.89,0.00
13-03-2023,13-03-2023,Clothing Purchase,5251805023544774,464.36,0.00
03-04-2023,03-04-2023,Subscription Fee,8476874204046259,147.72,0.00
06-04-2023,06-04-2023,Subscription Fee,6975503521547544,481.01,0.00
13-04-2023,13-04-2023,Loan EMI,5069158427707021,102.77,0.00
24-04-2023,24-04-2023,Clothing Purchase,4843340935572396,109.08,0.00
26-04-2023,26-04-2023,Dining,2449207297662910,401.35,0.00
28-04-2023,28-04-2023,Monthly Salary,8354867655695869,0.00,4430.05
01-05-2023,01-05-2023,Movie,5979525951410483,262.65,0.00
11-05-2023,11-05-2023,Clothing Purchase,5781296280210130,241.76,0.00
12-05-2023,12-05-2023,Water Bill,5524856524938771,278.65,0.00
15-05-2023,15-05-2023,Monthly Salary,6519524825287686,0.00,4850.28
15-05-2023,15-05-2023,Insurance Premium,3132993763510450,234.32,0.00
24-05-2023,24-05-2023,Electronics Purchase,6055366919797072,393.46,0.00
25-05-2023,25-05-2023,Monthly Salary,5441235861610032,0.00,3326.09
26-05-2023,26-05-2023,Movie,2602573957727020,99.38,0.00
23-06-2023,23-06-2023,Mobile Recharge,4105741927723623,85.97,0.00
30-06-2023,30-06-2023,Mobile Recharge,2095058996811526,45.69,0.00
06-07-2023,06-07-2023,Clothing Purchase,8233313557002518,119.15,0.00
11-07-2023,11-07-2023,Loan EMI,6674730014580061,17.61,0.00
15-07-2023,15-07-2023,Water Bill,3659896381675968,217.10,0.00
16-07-2023,16-07-2023,Clothing Purchase,8732803978334833,402.75,0.00
20-07-2023,20-07-2023,Loan EMI,6259886855536481,420.49,0.00
26-07-2023,26-07-2023,Gym Membership,9311133824199905,229.76,0.00
27-07-2023,27-07-2023,Medical Expenses,3332346365005651,20.98,0.00
04-08-2023,04-08-2023,Fuel,2379522459538887,342.26,0.00
05-08-2023,05-08-2023,Movie,6202568741764512,218.62,0.00
11-08-2023,11-08-2023,Medical Expenses,8542874149485155,368.09,0.00
11-08-2023,11-08-2023,Water Bill,4161784425285363,305.39,0.00
19-08-2023,19-08-2023,Insurance Premium,2180587494544295,353.21,0.00
26-08-2023,26-08-2023,Grocery Shopping,6107608130355635,40.19,0.00
29-08-2023,29-08-2023,Electronics Purchase,6978865364252690,260.92,0.00
31-08-2023,31-08-2023,Clothing Purchase,4033536061558062,333.19,0.00
06-09-2023,06-09-2023,Electricity Bill,8902140635045647,337.85,0.00
07-09-2023,07-09-2023,Water Bill,3773238388159236,345.66,0.00
25-09-2023,25-09-2023,Loan EMI,4666107572540081,262.66,0.00
01-10-2023,01-10-2023,Dining,6139887122781078,344.68,0.00
04-10-2023,04-10-2023,Travel Booking,3250954154596103,488.62,0.00
05-10-2023,05-10-2023,Electronics Purchase,9712983547665754,25.56,0.00
06-10-2023,06-10-2023,Clothing Purchase,9559795379784058,435.08,0.00
13-10-2023,13-10-2023,Monthly Salary,2771511537660634,0.00,3554.25
14-10-2023,14-10-2023,Movie,6544686663182579,364.74,0.00
26-10-2023,26-10-2023,Medical Expenses,8389783961071306,197.38,0.00
29-10-2023,29-10-2023,Clothing Purchase,6960970440915055,231.92,0.00
03-11-2023,03-11-2023,Travel Booking,7187045167670525,102.29,0.00
10-11-2023,10-11-2023,School Fees,7823856745011777,252.42,0.00
11-11-2023,11-11-2023,Electricity Bill,4430000734980004,209.54,0.00
18-11-2023,18-11-2023,Electricity Bill,9743083364387318,70.18,0.00
18-11-2023,18-11-2023,School Fees,5392407797325898,420.67,0.00
22-11-2023,22-11-2023,Fuel,7275015929657356,412.35,0.00
23-11-2023,23-11-2023,Online Purchase,2278243635300710,214.39,0.00
23-11-2023,23-11-2023,Fuel,6662831092897570,95.28,0.00
28-11-2023,28-11-2023,Electricity Bill,9765241162181757,461.17,0.00
02-12-2023,02-12-2023,Loan EMI,7676268238535267,294.39,0.00
03-12-2023,03-12-2023,Electricity Bill,8091592445975198,404.09,0.00
07-12-2023,07-12-2023,Monthly Salary,7459731937772194,0.00,4595.55
13-12-2023,13-12-2023,Gym Membership,9187119209959353,205.35,0.00
14-12-2023,14-12-2023,Medical Expenses,6187147076344140,21.30,0.00
18-12-2023,18-12-2023,Gym Membership,9796382373614159,338.48,0.00
20-12-2023,20-12-2023,Monthly Salary,6806623210235125,0.00,2189.93
22-12-2023,22-12-2023,Electricity Bill,8869411403071091,210.67,0.00
28-12-2023,28-12-2023,Movie,5391868418995331,137.41,0.00
12-05-2023,12-05-2023,Water Bill,5524856524938771,278.65,0.00
15-05-2023,15-05-2023,Monthly Salary,6519524825287686,0.00,4850.28
15-05-2023,15-05-2023,Insurance Premium,3132993763510450,234.32,0.00
24-05-2023,24-05-2023,Electronics Purchase,6055366919797072,393.46,0.00
25-05-2023,25-05-2023,Monthly Salary,5441235861610032,0.00,3326.09
26-05-2023,26-05-2023,Movie,2602573957727020,99.38,0.00
23-06-2023,23-06-2023,Mobile Recharge,4105741927723623,85.97,0.00
30-06-2023,30-06-2023,Mobile Recharge,2095058996811526,45.69,0.00
06-07-2023,06-07-2023,Clothing Purchase,8233313557002518,119.15,0.00
11-07-2023,11-07-2023,Loan EMI,6674730014580061,17.61,0.00
15-07-2023,15-07-2023,Water Bill,3659896381675968,217.10,0.00
16-07-2023,16-07-2023,Clothing Purchase,8732803978334833,402.75,0.00
20-07-2023,20-07-2023,Loan EMI,6259886855536481,420.49,0.00
26-07-2023,26-07-2023,Gym Membership,9311133824199905,229.76,0.00
27-07-2023,27-07-2023,Medical Expenses,3332346365005651,20.98,0.00
04-08-2023,04-08-2023,Fuel,2379522459538887,342.26,0.00
05-08-2023,05-08-2023,Movie,6202568741764512,218.62,0.00
11-08-2023,11-08-2023,Medical Expenses,8542874149485155,368.09,0.00
11-08-2023,11-08-2023,Water Bill,4161784425285363,305.39,0.00
19-08-2023,19-08-2023,Insurance Premium,2180587494544295,353.21,0.00
26-08-2023,26-08-2023,Grocery Shopping,6107608130355635,40.19,0.00
29-08-2023,29-08-2023,Electronics Purchase,6978865364252690,260.92,0.00
31-08-2023,31-08-2023,Clothing Purchase,4033536061558062,333.19,0.00
06-09-2023,06-09-2023,Electricity Bill,8902140635045647,337.85,0.00
07-09-2023,07-09-2023,Water Bill,3773238388159236,345.66,0.00
25-09-2023,25-09-2023,Loan EMI,4666107572540081,262.66,0.00
01-10-2023,01-10-2023,Dining,6139887122781078,344.68,0.00
04-10-2023,04-10-2023,Travel Booking,3250954154596103,488.62,0.00
05-10-2023,05-10-2023,Electronics Purchase,9712983547665754,25.56,0.00
06-10-2023,06-10-2023,Clothing Purchase,9559795379784058,435.08,0.00
13-10-2023,13-10-2023,Monthly Salary,2771511537660634,0.00,3554.25
14-10-2023,14-10-2023,Movie,6544686663182579,364.74,0.00
26-10-2023,26-10-2023,Medical Expenses,8389783961071306,197.38,0.00
29-10-2023,29-10-2023,Clothing Purchase,6960970440915055,231.92,0.00
03-11-2023,03-11-2023,Travel Booking,7187045167670525,102.29,0.00
10-11-2023,10-11-2023,School Fees,7823856745011777,252.42,0.00
11-11-2023,11-11-2023,Electricity Bill,4430000734980004,209.54,0.00
18-11-2023,18-11-2023,Electricity Bill,9743083364387318,70.18,0.00
18-11-2023,18-11-2023,School Fees,5392407797325898,420.67,0.00
22-11-2023,22-11-2023,Fuel,7275015929657356,412.35,0.00
23-11-2023,23-11-2023,Online Purchase,2278243635300710,214.39,0.00
23-11-2023,23-11-2023,Fuel,6662831092897570,95.28,0.00
28-11-2023,28-11-2023,Electricity Bill,9765241162181757,461.17,0.00
02-12-2023,02-12-2023,Loan EMI,7676268238535267,294.39,0.00
03-12-2023,03-12-2023,Electricity Bill,8091592445975198,404.09,0.00
07-12-2023,07-12-2023,Monthly Salary,7459731937772194,0.00,4595.55
13-12-2023,13-12-2023,Gym Membership,9187119209959353,205.35,0.00
14-12-2023,14-12-2023,Medical Expenses,6187147076344140,21.30,0.00
18-12-2023,18-12-2023,Gym Membership,9796382373614159,338.48,0.00
20-12-2023,20-12-2023,Monthly Salary,6806623210235125,0.00,2189.93
22-12-2023,22-12-2023,Electricity Bill,8869411403071091,210.67,0.00
28-12-2023,28-12-2023,Movie,5391868418995331,137.41,0.00
12-05-2023,12-05-2023,Water Bill,5524856524938771,278.65,0.00
15-05-2023,15-05-2023,Monthly Salary,6519524825287686,0.00,4850.28
15-05-2023,15-05-2023,Insurance Premium,3132993763510450,234.32,0.00
24-05-2023,24-05-2023,Electronics Purchase,6055366919797072,393.46,0.00
25-05-2023,25-05-2023,Monthly Salary,5441235861610032,0.00,3326.09
26-05-2023,26-05-2023,Movie,2602573957727020,99.38,0.00
23-06-2023,23-06-2023,Mobile Recharge,4105741927723623,85.97,0.00
30-06-2023,30-06-2023,Mobile Recharge,2095058996811526,45.69,0.00
06-07-2023,06-07-2023,Clothing Purchase,8233313557002518,119.15,0.00
11-07-2023,11-07-2023,Loan EMI,6674730014580061,17.61,0.00
15-07-2023,15-07-2023,Water Bill,3659896381675968,217.10,0.00
16-07-2023,16-07-2023,Clothing Purchase,8732803978334833,402.75,0.00
20-07-2023,20-07-2023,Loan EMI,6259886855536481,420.49,0.00
26-07-2023,26-07-2023,Gym Membership,9311133824199905,229.76,0.00
27-07-2023,27-07-2023,Medical Expenses,3332346365005651,20.98,0.00
04-08-2023,04-08-2023,Fuel,2379522459538887,342.26,0.00
05-08-2023,05-08-2023,Movie,6202568741764512,218.62,0.00
11-08-2023,11-08-2023,Medical Expenses,8542874149485155,368.09,0.00
11-08-2023,11-08-2023,Water Bill,4161784425285363,305.39,0.00
19-08-2023,19-08-2023,Insurance Premium,2180587494544295,353.21,0.00
26-08-2023,26-08-2023,Grocery Shopping,6107608130355635,40.19,0.00
29-08-2023,29-08-2023,Electronics Purchase,6978865364252690,260.92,0.00
31-08-2023,31-08-2023,Clothing Purchase,4033536061558062,333.19,0.00
06-09-2023,06-09-2023,Electricity Bill,8902140635045647,337.85,0.00
07-09-2023,07-09-2023,Water Bill,3773238388159236,345.66,0.00
25-09-2023,25-09-2023,Loan EMI,4666107572540081,262.66,0.00
01-10-2023,01-10-2023,Dining,6139887122781078,344.68,0.00
04-10-2023,04-10-2023,Travel Booking,3250954154596103,488.62,0.00
05-10-2023,05-10-2023,Electronics Purchase,9712983547665754,25.56,0.00
06-10-2023,06-10-2023,Clothing Purchase,9559795379784058,435.08,0.00
13-10-2023,13-10-2023,Monthly Salary,2771511537660634,0.00,3554.25
14-10-2023,14-10-2023,Movie,6544686663182579,364.74,0.00
26-10-2023,26-10-2023,Medical Expenses,8389783961071306,197.38,0.00
29-10-2023,29-10-2023,Clothing Purchase,6960970440915055,231.92,0.00
03-11-2023,03-11-2023,Travel Booking,7187045167670525,102.29,0.00
10-11-2023,10-11-2023,School Fees,7823856745011777,252.42,0.00
11-11-2023,11-11-2023,Electricity Bill,4430000734980004,209.54,0.00
18-11-2023,18-11-2023,Electricity Bill,9743083364387318,70.18,0.00
18-11-2023,18-11-2023,School Fees,5392407797325898,420.67,0.00
22-11-2023,22-11-2023,Fuel,7275015929657356,412.35,0.00
23-11-2023,23-11-2023,Online Purchase,2278243635300710,214.39,0.00
23-11-2023,23-11-2023,Fuel,6662831092897570,95.28,0.00
28-11-2023,28-11-2023,Electricity Bill,9765241162181757,461.17,0.00
02-12-2023,02-12-2023,Loan EMI,7676268238535267,294.39,0.00
03-12-2023,03-12-2023,Electricity Bill,8091592445975198,404.09,0.00
07-12-2023,07-12-2023,Monthly Salary,7459731937772194,0.00,4595.55
13-12-2023,13-12-2023,Gym Membership,9187119209959353,205.35,0.00
14-12-2023,14-12-2023,Medical Expenses,6187147076344140,21.30,0.00
18-12-2023,18-12-2023,Gym Membership,9796382373614159,338.48,0.00
20-12-2023,20-12-2023,Monthly Salary,6806623210235125,0.00,2189.93
22-12-2023,22-12-2023,Electricity Bill,8869411403071091,210.67,0.00
28-12-2023,28-12-2023,Movie,5391868418995331,137.41,0.00
12-05-2023,12-05-2023,Water Bill,5524856524938771,278.65,0.00
15-05-2023,15-05-2023,Monthly Salary,6519524825287686,0.00,4850.28
15-05-2023,15-05-2023,Insurance Premium,3132993763510450,234.32,0.00
24-05-2023,24-05-2023,Electronics Purchase,6055366919797072,393.46,0.00
25-05-2023,25-05-2023,Monthly Salary,5441235861610032,0.00,3326.09
26-05-2023,26-05-2023,Movie,2602573957727020,99.38,0.00
23-06-2023,23-06-2023,Mobile Recharge,4105741927723623,85.97,0.00
30-06-2023,30-06-2023,Mobile Recharge,2095058996811526,45.69,0.00
06-07-2023,06-07-2023,Clothing Purchase,8233313557002518,119.15,0.00
11-07-2023,11-07-2023,Loan EMI,6674730014580061,17.61,0.00
15-07-2023,15-07-2023,Water Bill,3659896381675968,217.10,0.00
16-07-2023,16-07-2023,Clothing Purchase,8732803978334833,402.75,0.00
20-07-2023,20-07-2023,Loan EMI,6259886855536481,420.49,0.00
26-07-2023,26-07-2023,Gym Membership,9311133824199905,229.76,0.00
27-07-2023,27-07-2023,Medical Expenses,3332346365005651,20.98,0.00
04-08-2023,04-08-2023,Fuel,2379522459538887,342.26,0.00
05-08-2023,05-08-2023,Movie,6202568741764512,218.62,0.00
11-08-2023,11-08-2023,Medical Expenses,8542874149485155,368.09,0.00
11-08-2023,11-08-2023,Water Bill,4161784425285363,305.39,0.00
19-08-2023,19-08-2023,Insurance Premium,2180587494544295,353.21,0.00
